0.000000	19093.717740	634397.194100	26330.102340	452016.330900
60.000000	19766.639900	634387.959400	26470.583390	453060.760400
120.000000	19198.312110	631666.604500	26062.014800	454633.935400
180.000000	19403.869440	632470.788900	26619.641160	456508.730400
240.000000	19086.882720	633451.829600	26202.556030	453382.638800
300.000000	19357.146490	635325.450700	26398.601790	454290.950600
620.000000	936384.630700	1198217.127000	964610.249100	1111004.453000
664.100000	1063946.140000	1309821.262000	1194986.102000	1333696.651000
708.100000	1180374.981000	1411164.845000	1387997.115000	1524923.055000
752.100000	1286846.434000	1504755.224000	1558996.506000	1678622.677000
796.100000	1381216.266000	1581663.259000	1701532.936000	1816764.625000
840.100000	1469679.655000	1661269.593000	1830340.958000	1932055.102000
884.100000	1557555.993000	1726890.709000	1936962.545000	2026028.703000
928.100000	1625595.272000	1787254.223000	2030805.817000	2112943.202000
972.100000	1696511.359000	1847227.177000	2113825.538000	2190021.734000
1016.100000	1759746.953000	1901891.563000	2189196.444000	2245533.707000
1060.100000	1815549.326000	1952258.900000	2244929.082000	2298479.173000
1104.100000	1874989.465000	1993365.545000	2304194.021000	2345168.615000
1148.100000	1918199.130000	2038237.873000	2358143.786000	2389385.101000
1192.100000	1970312.014000	2076745.350000	2397892.674000	2423180.398000
1236.100000	2017110.530000	2109822.820000	2436477.211000	2455676.039000
1280.100000	2059246.166000	2140637.606000	2474685.656000	2481323.780000
1324.100000	2096218.312000	2177306.590000	2517285.328000	2562324.157000
1380.000000	2154595.795000	2223500.805000	2552559.975000	2536202.654000
1440.000000	2191801.748000	2244086.339000	2571433.342000	2558541.599000
1500.000000	2231919.421000	2283272.524000	2602119.459000	2575585.785000
1560.000000	2267697.320000	2305677.208000	2619006.325000	2592314.016000
1620.000000	2299334.747000	2333382.118000	2639560.578000	2604103.851000
1680.000000	2340232.918000	2358530.347000	2662139.133000	2615533.197000
1740.000000	2368211.156000	2382580.851000	2677881.192000	2625587.188000
1800.000000	2390128.197000	2404885.820000	2689918.281000	2630289.310000
1860.000000	2429276.817000	2425568.610000	2703346.822000	2642700.559000
1920.000000	2441035.450000	2439017.098000	2707135.079000	2641561.267000
1980.000000	2462886.369000	2455523.596000	2717438.865000	2646429.029000
2040.000000	2481514.408000	2467569.217000	2723903.347000	2654537.294000
2100.000000	2501511.149000	2480380.132000	2730132.255000	2651726.134000
2160.000000	2519251.093000	2492862.649000	2734644.490000	2655281.281000
2220.000000	2530023.953000	2504252.265000	2740294.431000	2658960.443000
2280.000000	2561019.676000	2521345.197000	2746957.789000	2660053.880000
2340.000000	2562255.003000	2527498.312000	2746321.129000	2661512.022000
2400.000000	2581213.100000	2537820.881000	2750657.975000	2664125.819000
2460.000000	2595459.136000	2536734.894000	2757405.816000	2665981.902000
2520.000000	2604300.192000	2550194.337000	2756099.960000	2667226.380000
2580.000000	2620318.495000	2557020.609000	2757823.771000	2670264.190000
2640.000000	2627308.760000	2564089.307000	2753551.183000	2661084.134000
2700.000000	2634935.517000	2570752.511000	2762377.864000	2664331.381000
2760.000000	2647105.630000	2571754.210000	2761782.910000	2668923.277000
2820.000000	2655295.017000	2577011.701000	2762191.049000	2661368.136000
2880.000000	2663755.268000	2585280.940000	2765176.451000	2669690.245000
2940.000000	2668679.988000	2591009.777000	2767691.278000	2667560.391000
3000.000000	2678829.414000	2590763.841000	2767233.963000	2664118.509000
3060.000000	2684932.319000	2595332.888000	2769076.454000	2667427.862000
3120.000000	2697897.087000	2600099.111000	2766919.528000	2672526.640000
3180.000000	2702405.969000	2602662.610000	2773058.915000	2677033.108000
3240.000000	2706257.106000	2607486.975000	2773572.987000	2674064.866000
3300.000000	2708887.620000	2613864.681000	2778124.547000	2677296.305000
3360.000000	2724843.488000	2615049.813000	2778061.416000	2676912.319000
3420.000000	2731639.365000	2613520.731000	2778548.197000	2676617.729000
3480.000000	2729357.488000	2616022.962000	2774687.473000	2675311.709000
3540.000000	2739287.840000	2641237.872000	2805261.801000	2706459.836000
3600.000000	2752498.726000	2629767.703000	2785438.781000	2689419.770000
3660.000000	2754564.970000	2634895.159000	2789214.160000	2696649.898000
3720.000000	2758726.266000	2637834.877000	2793217.643000	2692258.529000
3780.000000	2753275.784000	2642329.231000	2793801.050000	2694400.817000
3840.000000	2764665.842000	2642670.115000	2794928.646000	2692653.601000
3900.000000	2762698.767000	2638987.295000	2792653.077000	2692323.817000
3960.000000	2764896.172000	2642893.422000	2791888.286000	2692783.403000
4020.000000	2765004.735000	2643731.935000	2795201.487000	2695852.762000
4080.000000	2774151.440000	2643362.933000	2787779.612000	2690596.437000
4140.000000	2772659.921000	2641161.296000	2792741.797000	2696609.039000
4200.000000	2773969.451000	2641639.335000	2793898.440000	2701499.845000
4260.000000	2783593.951000	2651575.517000	2793275.381000	2700256.926000
4320.000000	2778074.116000	2647787.001000	2793874.294000	2702720.420000
4380.000000	2790860.484000	2658237.657000	2796606.101000	2700237.657000
4440.000000	2786249.660000	2653514.203000	2798697.662000	2700891.027000
4500.000000	2784910.405000	2649919.116000	2799051.810000	2698944.978000
4560.000000	2786584.247000	2651848.622000	2794453.791000	2699811.957000
4620.000000	2783335.680000	2646526.820000	2794214.298000	2703030.008000
4680.000000	2785621.525000	2650114.562000	2795658.490000	2696508.690000
4740.000000	2788752.270000	2651081.160000	2793700.807000	2697057.966000
4800.000000	2788050.906000	2652024.906000	2796575.630000	2702887.289000
4860.000000	2789561.970000	2652675.249000	2797815.405000	2705462.676000
4920.000000	2791414.684000	2649150.362000	2792838.778000	2701142.112000
